size;shuffle_rate;pivot_function;experiment;time
10;0.45;first_pos;9;0.0
10;0.45;acha_pivo;0;0.0
10;0.45;acha_pivo;1;0.0
10;0.45;acha_pivo;2;0.0
10;0.45;acha_pivo;3;0.0
10;0.45;acha_pivo;4;0.0
10;0.45;acha_pivo;5;0.0
10;0.45;acha_pivo;6;0.0
10;0.45;acha_pivo;7;0.0
10;0.45;acha_pivo;8;0.0
10;0.45;acha_pivo;9;0.0
10;0.45;quickselect_median;0;0.0
10;0.45;quickselect_median;1;0.0
10;0.45;quickselect_median;2;0.0
10;0.45;quickselect_median;3;0.0
10;0.45;quickselect_median;4;0.0
10;0.45;quickselect_median;5;0.0
10;0.45;quickselect_median;6;0.0
10;0.45;quickselect_median;7;0.0
10;0.45;quickselect_median;8;0.0
10;0.45;quickselect_median;9;0.0
100;0.05;middle_pos;0;0.0
100;0.05;middle_pos;1;0.0
100;0.05;middle_pos;2;0.0
100;0.05;middle_pos;3;0.0
100;0.05;middle_pos;4;0.0
100;0.05;middle_pos;5;0.0
100;0.05;middle_pos;6;0.0
100;0.05;middle_pos;7;0.0
100;0.05;middle_pos;8;0.0
100;0.05;middle_pos;9;0.0
100;0.05;median;0;0.0
100;0.05;median;1;0.0
100;0.05;median;2;0.0
100;0.05;median;3;0.0
100;0.05;median;4;0.0
100;0.05;median;5;0.0
100;0.05;median;6;0.0
100;0.05;median;7;0.0
100;0.05;median;8;0.0
100;0.05;median;9;0.0
100;0.05;random_pos;0;0.0
100;0.05;random_pos;1;0.0
100;0.05;random_pos;2;0.0
100;0.05;random_pos;3;0.0
100;0.05;random_pos;4;0.0
100;0.05;random_pos;5;0.0
100;0.05;random_pos;6;0.0
100;0.05;random_pos;7;0.0
100;0.05;random_pos;8;0.0
100;0.05;random_pos;9;0.0
100;0.05;mean;0;0.0
100;0.05;mean;1;0.0
100;0.05;mean;2;0.0
100;0.05;mean;3;0.0
100;0.05;mean;4;0.0
100;0.05;mean;5;0.0
100;0.05;mean;6;0.0
100;0.05;mean;7;0.0
100;0.05;mean;8;0.0
100;0.05;mean;9;0.0
100;0.05;first_pos;0;0.0
100;0.05;first_pos;1;0.0
100;0.05;first_pos;2;0.0
100;0.05;first_pos;3;0.0
100;0.05;first_pos;4;0.0
100;0.05;first_pos;5;0.0
100;0.05;first_pos;6;0.0
100;0.05;first_pos;7;0.0
100;0.05;first_pos;8;0.0
100;0.05;first_pos;9;0.0
100;0.05;acha_pivo;0;0.0
100;0.05;acha_pivo;1;0.0
100;0.05;acha_pivo;2;0.0
100;0.05;acha_pivo;3;0.0
100;0.05;acha_pivo;4;0.0
100;0.05;acha_pivo;5;0.0
100;0.05;acha_pivo;6;0.0
100;0.05;acha_pivo;7;0.0
100;0.05;acha_pivo;8;0.0
100;0.05;acha_pivo;9;0.0
100;0.05;quickselect_median;0;0.0
100;0.05;quickselect_median;1;0.0
100;0.05;quickselect_median;2;0.0
100;0.05;quickselect_median;3;0.0
100;0.05;quickselect_median;4;0.0
100;0.05;quickselect_median;5;0.0
100;0.05;quickselect_median;6;0.0
100;0.05;quickselect_median;7;0.0
100;0.05;quickselect_median;8;0.0
100;0.05;quickselect_median;9;0.0
100;0.25;middle_pos;0;0.0
100;0.25;middle_pos;1;0.0
100;0.25;middle_pos;2;0.0
100;0.25;middle_pos;3;0.0
100;0.25;middle_pos;4;0.0
100;0.25;middle_pos;5;0.0
100;0.25;middle_pos;6;0.0
100;0.25;middle_pos;7;0.0
100;0.25;middle_pos;8;0.0
100;0.25;middle_pos;9;0.0
100;0.25;median;0;0.0
100;0.25;median;1;0.0
100;0.25;median;2;0.0
100;0.25;median;3;0.0
100;0.25;median;4;0.0
100;0.25;median;5;0.0
100;0.25;median;6;0.0
100;0.25;median;7;0.0
100;0.25;median;8;0.0
100;0.25;median;9;0.0
100;0.25;random_pos;0;0.0
100;0.25;random_pos;1;0.0
100;0.25;random_pos;2;0.0
100;0.25;random_pos;3;0.0
100;0.25;random_pos;4;0.0
100;0.25;random_pos;5;0.0
100;0.25;random_pos;6;0.0
100;0.25;random_pos;7;0.0
100;0.25;random_pos;8;0.0
100;0.25;random_pos;9;0.0
100;0.25;mean;0;0.0
100;0.25;mean;1;0.0
100;0.25;mean;2;0.0
100;0.25;mean;3;0.0
100;0.25;mean;4;0.0
100;0.25;mean;5;0.0
100;0.25;mean;6;0.0
100;0.25;mean;7;0.0
100;0.25;mean;8;0.0
100;0.25;mean;9;0.0
100;0.25;first_pos;0;0.0
100;0.25;first_pos;1;0.0
100;0.25;first_pos;2;0.0
100;0.25;first_pos;3;0.0
100;0.25;first_pos;4;0.0
100;0.25;first_pos;5;0.0
100;0.25;first_pos;6;0.0
100;0.25;first_pos;7;0.0
100;0.25;first_pos;8;0.0
100;0.25;first_pos;9;0.0
100;0.25;acha_pivo;0;0.0
100;0.25;acha_pivo;1;0.0
100;0.25;acha_pivo;2;0.0
100;0.25;acha_pivo;3;0.0
100;0.25;acha_pivo;4;0.0
100;0.25;acha_pivo;5;0.0
100;0.25;acha_pivo;6;0.0
100;0.25;acha_pivo;7;0.0
100;0.25;acha_pivo;8;0.0
100;0.25;acha_pivo;9;0.0
100;0.25;quickselect_median;0;0.0
100;0.25;quickselect_median;1;0.0
100;0.25;quickselect_median;2;0.0
100;0.25;quickselect_median;3;0.0
100;0.25;quickselect_median;4;0.0
100;0.25;quickselect_median;5;0.0
100;0.25;quickselect_median;6;0.0
100;0.25;quickselect_median;7;0.0
100;0.25;quickselect_median;8;0.0
100;0.25;quickselect_median;9;0.0
100;0.45;middle_pos;0;0.0
100;0.45;middle_pos;1;0.0
100;0.45;middle_pos;2;0.0
100;0.45;middle_pos;3;0.0
100;0.45;middle_pos;4;0.0
100;0.45;middle_pos;5;0.0
100;0.45;middle_pos;6;0.0
100;0.45;middle_pos;7;0.0
100;0.45;middle_pos;8;0.0
100;0.45;middle_pos;9;0.0
100;0.45;median;0;0.0
100;0.45;median;1;0.0
100;0.45;median;2;0.0
100;0.45;median;3;0.0
100;0.45;median;4;0.0
100;0.45;median;5;0.0
100;0.45;median;6;0.0
100;0.45;median;7;0.0
100;0.45;median;8;0.0
100;0.45;median;9;0.0
100;0.45;random_pos;0;0.0
100;0.45;random_pos;1;0.0
100;0.45;random_pos;2;0.0
100;0.45;random_pos;3;0.0
100;0.45;random_pos;4;0.0
100;0.45;random_pos;5;0.0
100;0.45;random_pos;6;0.0
100;0.45;random_pos;7;0.0
100;0.45;random_pos;8;0.0
100;0.45;random_pos;9;0.0
100;0.45;mean;0;0.0
100;0.45;mean;1;0.0
100;0.45;mean;2;0.0
100;0.45;mean;3;0.0
100;0.45;mean;4;0.0
100;0.45;mean;5;0.0
100;0.45;mean;6;0.0
100;0.45;mean;7;0.0
100;0.45;mean;8;0.0
100;0.45;mean;9;0.0
100;0.45;first_pos;0;0.0
100;0.45;first_pos;1;0.0
100;0.45;first_pos;2;0.0
100;0.45;first_pos;3;0.0
100;0.45;first_pos;4;0.0
100;0.45;first_pos;5;0.0
100;0.45;first_pos;6;0.0
100;0.45;first_pos;7;0.0
100;0.45;first_pos;8;0.0
100;0.45;first_pos;9;0.0
100;0.45;acha_pivo;0;0.0
100;0.45;acha_pivo;1;0.0
100;0.45;acha_pivo;2;0.0
100;0.45;acha_pivo;3;0.0
100;0.45;acha_pivo;4;0.0
100;0.45;acha_pivo;5;0.0
100;0.45;acha_pivo;6;0.0
100;0.45;acha_pivo;7;0.0
100;0.45;acha_pivo;8;0.0
100;0.45;acha_pivo;9;0.0
100;0.45;quickselect_median;0;0.0
100;0.45;quickselect_median;1;0.0
100;0.45;quickselect_median;2;0.0
100;0.45;quickselect_median;3;0.0
100;0.45;quickselect_median;4;0.0
100;0.45;quickselect_median;5;0.0
100;0.45;quickselect_median;6;0.0
100;0.45;quickselect_median;7;0.0
100;0.45;quickselect_median;8;0.0
100;0.45;quickselect_median;9;0.0
1000;0.05;middle_pos;0;0.0
1000;0.05;middle_pos;1;0.0
1000;0.05;middle_pos;2;0.0
1000;0.05;middle_pos;3;0.0
1000;0.05;middle_pos;4;0.0
1000;0.05;middle_pos;5;0.0
1000;0.05;middle_pos;6;0.0
1000;0.05;middle_pos;7;0.0
1000;0.05;middle_pos;8;0.0
1000;0.05;middle_pos;9;0.0
1000;0.05;median;0;0.0
1000;0.05;median;1;0.0
1000;0.05;median;2;0.0
1000;0.05;median;3;0.0
1000;0.05;median;4;0.0
1000;0.05;median;5;0.0
1000;0.05;median;6;0.0
1000;0.05;median;7;0.0
1000;0.05;median;8;0.0
1000;0.05;median;9;0.0
1000;0.05;random_pos;0;0.0
1000;0.05;random_pos;1;0.0
1000;0.05;random_pos;2;0.0
1000;0.05;random_pos;3;0.0
1000;0.05;random_pos;4;0.0
1000;0.05;random_pos;5;0.0
1000;0.05;random_pos;6;0.0
1000;0.05;random_pos;7;0.0
1000;0.05;random_pos;8;0.0
1000;0.05;random_pos;9;0.0
1000;0.05;mean;0;0.0
1000;0.05;mean;1;0.0
1000;0.05;mean;2;0.0
1000;0.05;mean;3;0.0
1000;0.05;mean;4;0.0
1000;0.05;mean;5;0.0
1000;0.05;mean;6;0.0
1000;0.05;mean;7;0.0
1000;0.05;mean;8;0.015625
1000;0.05;mean;9;0.0
1000;0.05;first_pos;0;0.0
1000;0.05;first_pos;1;0.0
1000;0.05;first_pos;2;0.0
1000;0.05;first_pos;3;0.0
1000;0.05;first_pos;4;0.0
1000;0.05;first_pos;5;0.0
1000;0.05;first_pos;6;0.0
1000;0.05;first_pos;7;0.0
1000;0.05;first_pos;8;0.0
1000;0.05;first_pos;9;0.0
1000;0.05;acha_pivo;0;0.0
1000;0.05;acha_pivo;1;0.0
1000;0.05;acha_pivo;2;0.0
1000;0.05;acha_pivo;3;0.0
1000;0.05;acha_pivo;4;0.0
1000;0.05;acha_pivo;5;0.0
1000;0.05;acha_pivo;6;0.015625
1000;0.05;acha_pivo;7;0.0
1000;0.05;acha_pivo;8;0.0
1000;0.05;acha_pivo;9;0.0
1000;0.05;quickselect_median;0;0.0
1000;0.05;quickselect_median;1;0.0
1000;0.05;quickselect_median;2;0.0
1000;0.05;quickselect_median;3;0.0
1000;0.05;quickselect_median;4;0.0
1000;0.05;quickselect_median;5;0.0
1000;0.05;quickselect_median;6;0.0
1000;0.05;quickselect_median;7;0.0
1000;0.05;quickselect_median;8;0.0
1000;0.05;quickselect_median;9;0.0
1000;0.25;middle_pos;0;0.0
1000;0.25;middle_pos;1;0.0
1000;0.25;middle_pos;2;0.0
1000;0.25;middle_pos;3;0.0
1000;0.25;middle_pos;4;0.0
1000;0.25;middle_pos;5;0.0
1000;0.25;middle_pos;6;0.0
1000;0.25;middle_pos;7;0.0
1000;0.25;middle_pos;8;0.0
1000;0.25;middle_pos;9;0.0
1000;0.25;median;0;0.0
1000;0.25;median;1;0.0
1000;0.25;median;2;0.0
1000;0.25;median;3;0.0
1000;0.25;median;4;0.0
1000;0.25;median;5;0.0
1000;0.25;median;6;0.0
1000;0.25;median;7;0.0
1000;0.25;median;8;0.0
1000;0.25;median;9;0.0
1000;0.25;random_pos;0;0.0
1000;0.25;random_pos;1;0.0
1000;0.25;random_pos;2;0.0
1000;0.25;random_pos;3;0.0
1000;0.25;random_pos;4;0.0
1000;0.25;random_pos;5;0.0
1000;0.25;random_pos;6;0.0
1000;0.25;random_pos;7;0.0
1000;0.25;random_pos;8;0.0
1000;0.25;random_pos;9;0.0
1000;0.25;mean;0;0.0
1000;0.25;mean;1;0.0
1000;0.25;mean;2;0.0
1000;0.25;mean;3;0.0
1000;0.25;mean;4;0.0
1000;0.25;mean;5;0.0
1000;0.25;mean;6;0.0
1000;0.25;mean;7;0.0
1000;0.25;mean;8;0.0
1000;0.25;mean;9;0.0
1000;0.25;first_pos;0;0.0
1000;0.25;first_pos;1;0.0
1000;0.25;first_pos;2;0.0
1000;0.25;first_pos;3;0.0
1000;0.25;first_pos;4;0.0
1000;0.25;first_pos;5;0.0
1000;0.25;first_pos;6;0.0
1000;0.25;first_pos;7;0.0
1000;0.25;first_pos;8;0.0
1000;0.25;first_pos;9;0.0
1000;0.25;acha_pivo;0;0.0
1000;0.25;acha_pivo;1;0.0
1000;0.25;acha_pivo;2;0.0
1000;0.25;acha_pivo;3;0.0
1000;0.25;acha_pivo;4;0.0
1000;0.25;acha_pivo;5;0.0
1000;0.25;acha_pivo;6;0.0
1000;0.25;acha_pivo;7;0.015625
1000;0.25;acha_pivo;8;0.0
1000;0.25;acha_pivo;9;0.0
1000;0.25;quickselect_median;0;0.0
1000;0.25;quickselect_median;1;0.0
1000;0.25;quickselect_median;2;0.0
1000;0.25;quickselect_median;3;0.0
1000;0.25;quickselect_median;4;0.0
1000;0.25;quickselect_median;5;0.0
1000;0.25;quickselect_median;6;0.0
1000;0.25;quickselect_median;7;0.0
1000;0.25;quickselect_median;8;0.0
1000;0.25;quickselect_median;9;0.0
1000;0.45;middle_pos;0;0.0
1000;0.45;middle_pos;1;0.0
1000;0.45;middle_pos;2;0.0
1000;0.45;middle_pos;3;0.0
1000;0.45;middle_pos;4;0.0
1000;0.45;middle_pos;5;0.0
1000;0.45;middle_pos;6;0.0
1000;0.45;middle_pos;7;0.0
1000;0.45;middle_pos;8;0.0
1000;0.45;middle_pos;9;0.0
1000;0.45;median;0;0.0
1000;0.45;median;1;0.0
1000;0.45;median;2;0.0
1000;0.45;median;3;0.0
1000;0.45;median;4;0.0
1000;0.45;median;5;0.0
1000;0.45;median;6;0.0
1000;0.45;median;7;0.0
1000;0.45;median;8;0.0
1000;0.45;median;9;0.0
1000;0.45;random_pos;0;0.015625
1000;0.45;random_pos;1;0.0
1000;0.45;random_pos;2;0.0
1000;0.45;random_pos;3;0.0
1000;0.45;random_pos;4;0.015625
1000;0.45;random_pos;5;0.0
1000;0.45;random_pos;6;0.0
1000;0.45;random_pos;7;0.0
1000;0.45;random_pos;8;0.0
1000;0.45;random_pos;9;0.0
1000;0.45;mean;0;0.0
1000;0.45;mean;1;0.0
1000;0.45;mean;2;0.0
1000;0.45;mean;3;0.0
1000;0.45;mean;4;0.0
1000;0.45;mean;5;0.0
1000;0.45;mean;6;0.0
1000;0.45;mean;7;0.0
1000;0.45;mean;8;0.0
1000;0.45;mean;9;0.0
1000;0.45;first_pos;0;0.0
1000;0.45;first_pos;1;0.0
1000;0.45;first_pos;2;0.0
1000;0.45;first_pos;3;0.0
1000;0.45;first_pos;4;0.0
1000;0.45;first_pos;5;0.0
1000;0.45;first_pos;6;0.0
1000;0.45;first_pos;7;0.0
1000;0.45;first_pos;8;0.0
1000;0.45;first_pos;9;0.0
1000;0.45;acha_pivo;0;0.0
1000;0.45;acha_pivo;1;0.0
1000;0.45;acha_pivo;2;0.0
1000;0.45;acha_pivo;3;0.0
1000;0.45;acha_pivo;4;0.0
1000;0.45;acha_pivo;5;0.0
1000;0.45;acha_pivo;6;0.0
1000;0.45;acha_pivo;7;0.0
1000;0.45;acha_pivo;8;0.0
1000;0.45;acha_pivo;9;0.0
1000;0.45;quickselect_median;0;0.0
1000;0.45;quickselect_median;1;0.0
1000;0.45;quickselect_median;2;0.0
1000;0.45;quickselect_median;3;0.0
1000;0.45;quickselect_median;4;0.0
1000;0.45;quickselect_median;5;0.0
1000;0.45;quickselect_median;6;0.0
1000;0.45;quickselect_median;7;0.0
1000;0.45;quickselect_median;8;0.0
1000;0.45;quickselect_median;9;0.0
10000;0.05;middle_pos;0;0.0
10000;0.05;middle_pos;1;0.0
10000;0.05;middle_pos;2;0.0
10000;0.05;middle_pos;3;0.0
10000;0.05;middle_pos;4;0.0
10000;0.05;middle_pos;5;0.0
10000;0.05;middle_pos;6;0.0
10000;0.05;middle_pos;7;0.0
10000;0.05;middle_pos;8;0.0
10000;0.05;middle_pos;9;0.0
10000;0.05;median;0;0.0
10000;0.05;median;1;0.0
10000;0.05;median;2;0.0
10000;0.05;median;3;0.0
10000;0.05;median;4;0.0
10000;0.05;median;5;0.0
10000;0.05;median;6;0.0
10000;0.05;median;7;0.015625
10000;0.05;median;8;0.0
10000;0.05;median;9;0.015625
10000;0.05;random_pos;0;0.03125
10000;0.05;random_pos;1;0.015625
10000;0.05;random_pos;2;0.015625
10000;0.05;random_pos;3;0.03125
10000;0.05;random_pos;4;0.03125
10000;0.05;random_pos;5;0.015625
10000;0.05;random_pos;6;0.015625
10000;0.05;random_pos;7;0.03125
10000;0.05;random_pos;8;0.03125
10000;0.05;random_pos;9;0.015625
10000;0.05;mean;0;0.09375
10000;0.05;mean;1;0.09375
10000;0.05;mean;2;0.109375
10000;0.05;mean;3;0.09375
10000;0.05;mean;4;0.0625
10000;0.05;mean;5;0.09375
10000;0.05;mean;6;0.078125
10000;0.05;mean;7;0.09375
10000;0.05;mean;8;0.109375
10000;0.05;mean;9;0.09375
10000;0.05;first_pos;0;0.015625
10000;0.05;first_pos;1;0.015625
10000;0.05;first_pos;2;0.0
10000;0.05;first_pos;3;0.015625
10000;0.05;first_pos;4;0.0
10000;0.05;first_pos;5;0.0
10000;0.05;first_pos;6;0.015625
10000;0.05;first_pos;7;0.015625
10000;0.05;first_pos;8;0.015625
10000;0.05;first_pos;9;0.0
10000;0.05;acha_pivo;0;0.03125
10000;0.05;acha_pivo;1;0.015625
10000;0.05;acha_pivo;2;0.015625
10000;0.05;acha_pivo;3;0.015625
10000;0.05;acha_pivo;4;0.03125
10000;0.05;acha_pivo;5;0.015625
10000;0.05;acha_pivo;6;0.03125
10000;0.05;acha_pivo;7;0.03125
10000;0.05;acha_pivo;8;0.03125
10000;0.05;acha_pivo;9;0.03125
10000;0.05;quickselect_median;0;0.0
10000;0.05;quickselect_median;1;0.0
10000;0.05;quickselect_median;2;0.015625
10000;0.05;quickselect_median;3;0.0
10000;0.05;quickselect_median;4;0.0
10000;0.05;quickselect_median;5;0.0
10000;0.05;quickselect_median;6;0.0
10000;0.05;quickselect_median;7;0.0
10000;0.05;quickselect_median;8;0.0
10000;0.05;quickselect_median;9;0.015625
10000;0.25;middle_pos;0;0.0
10000;0.25;middle_pos;1;0.0
10000;0.25;middle_pos;2;0.0
10000;0.25;middle_pos;3;0.0
10000;0.25;middle_pos;4;0.0
10000;0.25;middle_pos;5;0.0
10000;0.25;middle_pos;6;0.0
10000;0.25;middle_pos;7;0.0
10000;0.25;middle_pos;8;0.0
10000;0.25;middle_pos;9;0.0
10000;0.25;median;0;0.0
10000;0.25;median;1;0.0
10000;0.25;median;2;0.0
10000;0.25;median;3;0.0
10000;0.25;median;4;0.0
10000;0.25;median;5;0.0
10000;0.25;median;6;0.0
10000;0.25;median;7;0.0
10000;0.25;median;8;0.0
10000;0.25;median;9;0.0
10000;0.25;random_pos;0;0.015625
10000;0.25;random_pos;1;0.046875
10000;0.25;random_pos;2;0.03125
10000;0.25;random_pos;3;0.046875
10000;0.25;random_pos;4;0.015625
10000;0.25;random_pos;5;0.03125
10000;0.25;random_pos;6;0.046875
10000;0.25;random_pos;7;0.015625
10000;0.25;random_pos;8;0.03125
10000;0.25;random_pos;9;0.03125
10000;0.25;mean;0;0.09375
10000;0.25;mean;1;0.109375
10000;0.25;mean;2;0.09375
10000;0.25;mean;3;0.078125
10000;0.25;mean;4;0.125
10000;0.25;mean;5;0.078125
10000;0.25;mean;6;0.125
10000;0.25;mean;7;0.109375
10000;0.25;mean;8;0.125
10000;0.25;mean;9;0.109375
10000;0.25;first_pos;0;0.015625
10000;0.25;first_pos;1;0.0
10000;0.25;first_pos;2;0.0
10000;0.25;first_pos;3;0.0
10000;0.25;first_pos;4;0.0
10000;0.25;first_pos;5;0.0
10000;0.25;first_pos;6;0.0
10000;0.25;first_pos;7;0.0
10000;0.25;first_pos;8;0.0
10000;0.25;first_pos;9;0.0
10000;0.25;acha_pivo;0;0.015625
10000;0.25;acha_pivo;1;0.015625
10000;0.25;acha_pivo;2;0.015625
10000;0.25;acha_pivo;3;0.0
10000;0.25;acha_pivo;4;0.015625
10000;0.25;acha_pivo;5;0.03125
10000;0.25;acha_pivo;6;0.0
10000;0.25;acha_pivo;7;0.0
10000;0.25;acha_pivo;8;0.015625
10000;0.25;acha_pivo;9;0.015625
10000;0.25;quickselect_median;0;0.015625
10000;0.25;quickselect_median;1;0.0
10000;0.25;quickselect_median;2;0.03125
10000;0.25;quickselect_median;3;0.015625
10000;0.25;quickselect_median;4;0.0
10000;0.25;quickselect_median;5;0.015625
10000;0.25;quickselect_median;6;0.015625
10000;0.25;quickselect_median;7;0.03125
10000;0.25;quickselect_median;8;0.015625
10000;0.25;quickselect_median;9;0.015625
10000;0.45;middle_pos;0;0.0
10000;0.45;middle_pos;1;0.0
10000;0.45;middle_pos;2;0.0
10000;0.45;middle_pos;3;0.015625
10000;0.45;middle_pos;4;0.0
10000;0.45;middle_pos;5;0.0
10000;0.45;middle_pos;6;0.0
10000;0.45;middle_pos;7;0.0
10000;0.45;middle_pos;8;0.0
10000;0.45;middle_pos;9;0.0
10000;0.45;median;0;0.0
10000;0.45;median;1;0.0
10000;0.45;median;2;0.0
10000;0.45;median;3;0.0
10000;0.45;median;4;0.0
10000;0.45;median;5;0.015625
10000;0.45;median;6;0.0
10000;0.45;median;7;0.0
10000;0.45;median;8;0.0
10000;0.45;median;9;0.0
10000;0.45;random_pos;0;0.03125
10000;0.45;random_pos;1;0.015625
10000;0.45;random_pos;2;0.015625
10000;0.45;random_pos;3;0.03125
10000;0.45;random_pos;4;0.03125
